date,coin,price,signal,target,reason_skipped
2026-06-11,HYPE,56.488,1.0,0.302,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-06-11,ZEC,428.47,0.75,0.164,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-06-11,WLD,0.49415,1.0,0.168,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-06-11,NEAR,2.0138,1.0,0.252,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-06-11,LIT,1.4419,1.0,0.224,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-06-11,VVV,13.773,0.75,0.193,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-06-11,TON,1.6647,0.75,0.269,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,ETH,1651.7,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,HYPE,56.331,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,SOL,65.256,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,ZEC,425.44,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,WLD,0.50004,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,NEAR,2.0245,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,XRP,1.1134,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,LIT,1.4341,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,CRV,0.24601,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,TON,1.6381,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,SUI,0.74902,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,VVV,13.468,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,XMR,348.92,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,ENA,0.07561,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,PAXG,4080.1,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,ADA,0.16563,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,DOGE,0.084763,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,FARTCOIN,0.1158,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-01,AAVE,62.854,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,ETH,1651.7,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,HYPE,56.331,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,SOL,65.256,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,ZEC,425.44,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,WLD,0.50004,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,NEAR,2.0245,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,XRP,1.1134,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,LIT,1.4341,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,CRV,0.24601,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,TON,1.6381,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,SUI,0.74902,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,VVV,13.468,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,XMR,348.92,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,ENA,0.07561,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
2026-01-02,PAXG,4080.1,1.0,1.0,not in TREND_COINS (failed vetting or unvetted short-history alt)
